target_region,peak,elevation_m,elev_rank
grb,bck,3344.05,1
grb,bld,3515.3,2
grb,pmd,3615.25,3
grb,wlr,3974.89,4
cat,fsw,3065.88,1
cat,fes,3245.27,2
cat,fpk,3315.9,3
swe,bel,3147.5,1
swe,fry,3346.67,2
swe,whe,3551.82,3
snd,332,3336.79,1
snd,grl,3427.16,2
snd,357,3564.97,3
snd,374,3743.68,4
wim,shf,3245.75,1
wim,bar,3978.88,3
wim,rna,3725.83,2
wim,wmt,4299.9,4
wds,pgs,3479.18,1
wds,cws,3612.08,2
wds,sme,3737.28,3
lan,cfk,3408.73,1
lan,idr,3688.98,2
lan,lss,3945.23,3
lan,lws,4185.37,4
dev,low,2915.86,1
dev,mid,2948.87,2
dev,ben,3042.97,3
dev,tel,3359.26,4
